eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197000000001,1970,7,2,,0,,58,"Dominican Republic",2,"Central America & Caribbean",,"Santo Domingo",18.456792,-69.951164,1,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,14,"Private Citizens & Property",68,"Named Civilian",,"Julio Guzman",58,"Dominican Republic",,,,,,,,,,,,,,,,,MANO-D,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
197000000002,1970,0,0,,0,,130,Mexico,1,"North America",,"Mexico city",19.432608,-99.133207,1,0,,,1,1,1,0,,,0,1,0,6,"Hostage Taking (Kidnapping)",,,,,7,"Government (Diplomatic)",45,"Diplomatic Personnel (outside of embassy, consulate)","Belgian Ambassador Daughter","Nadine Chaval, daughter",21,Belgium,,,,,,,,,,,,,,,,,"23rd of September Communist League",,,,,,,0,,,0,7,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,1,1,0,,,,Mexico,1,800000,,,,,,,,,,,,PGIS,0,1,1,1,
197001000001,1970,1,0,,0,,160,Philippines,5,"Southeast Asia",Tarlac,Unknown,15.478598,120.599741,4,0,,,1,1,1,0,,,0,1,0,1,Assassination,,,,,10,"Journalists & Media",54,"Radio Journalist/Staff/Facility","Voice of America",Employee,217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197001000002,1970,1,0,,0,,78,Greece,8,"Western Europe",Attica,Athens,37.983773,23.728157,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,"Government (Diplomatic)",46,Embassy/Consulate,,"U.S. Embassy",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,Explosive,,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197001000003,1970,1,0,,0,,101,Japan,4,"East Asia",,Fukouka,33.580412,130.396361,1,0,,,1,1,1,-9,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,7,"Government (Diplomatic)",46,Embassy/Consulate,,"U.S. Consulate",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,,,,,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,
197001010002,1970,1,1,,0,,217,"United States",1,"North America",Illinois,Cairo,37.005105,-89.176269,1,0,,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,3,Police,22,"Police Building (headquarters, station, school)","Cairo Police Department","Cairo Police Headquarters",217,"United States",,,,,,,,,,,,,,,,,"Black Nationalists",,,,,,"To protest the Cairo Illinois Police Deparment",0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,"Unknown Gun Type",,,,,,,,,,,,,"Several gunshots were fired.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",,,0,,,,,,,0,,,,,,,,,"The Cairo Chief of Police, William Petersen, resigned as a result of the attack.","""Police Chief Quits,"" Washington Post, January 2, 1970.","""Cairo Police Chief Quits; Decries Local 'Militants',"" Afro-American, January 10, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Hewitt Project",-9,-9,0,-9,
197001020001,1970,1,2,,0,,218,Uruguay,3,"South America",Montevideo,Montevideo,-34.891151,-56.187214,1,0,,,1,1,1,0,,,0,0,0,1,Assassination,,,,,3,Police,25,"Police Security Forces/Officers","Uruguayan Police","Juan Maria de Lucah/Chief of Directorate of info. and intell.",218,Uruguay,,,,,,,,,,,,,,,,,"Tupamaros (Uruguay)",,,,,,,0,,,0,3,,,,,,,,,,,,5,Firearms,2,"Automatic Weapon",,,,,,,,,,,,,"Automatic firearm",0,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
197001020002,1970,1,2,,0,,217,"United States",1,"North America",California,Oakland,37.805065,-122.273024,1,0,"Edes Substation","1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",1,1,1,1,2,"Other Crime Type",0,1,0,3,Bombing/Explosion,,,,,21,Utilities,107,Electricity,"Pacific Gas & Electric Company","Edes Substation",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,,0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",22500,"Three transformers were damaged.",0,,,,,,,0,,,,,,,,,"Damages were estimated to be between $20,000-$25,000.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,"Hewitt Project",-9,-9,0,-9,
197001020003,1970,1,2,,0,,217,"United States",1,"North America",Wisconsin,Madison,43.076592,-89.412488,1,0,,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,4,Military,28,"Military Recruiting Station/Academy",R.O.T.C.,"R.O.T.C. offices at University of Wisconsin, Madison",217,"United States",,,,,,,,,,,,,,,,,"New Year's Gang",,,,,,"To protest the War in Vietnam and the draft",0,,,0,1,1,1,1,Letter,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Firebomb consisting of gasoline",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",60000,"Basketball courts, weight room, swimming pool, gymnastic equipment, and lockers were destroyed.",0,,,,,,,0,,,,,,,,,"The New Years Gang issue a communiqué to a local paper claiming that they perpetrated this attack.  The New Years Gang  previously attempted to firebomb the R.O.T.C. building a week earlier.  As a result of the attack, police increased their presence in Madison.  Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Old Red Gym.  The next day Armstrong would attempt to set a fire in the Selective Service offices in Madison. (197001030001)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970.  (197008240001)","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.","The Wisconsin Cartographers' Guild, ""Wisconsin's Past and Present: A Historical Atlas,"" The University of Wisconsin Press, 2002.","Hewitt Project",0,0,0,0,
197001030001,1970,1,3,,0,,217,"United States",1,"North America",Wisconsin,Madison,43.07295,-89.386694,1,0,,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,2,"Government (General)",21,"Government Building/Facility/Office","Selective Service","Selective Service Headquarters in Madison Wisconsin",217,"United States",,,,,,,,,,,,,,,,,"New Year's Gang",,,,,,"To protest the War in Vietnam and the draft",0,,,0,1,1,0,,,,,,,,,,8,Incendiary,20,"Gasoline or Alcohol",,,,,,,,,,,,,"Poured gasoline on the floor and lit it with a match",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",,"Slight damage",0,,,,,,,0,,,,,,,,,"Karl Armstrong's girlfriend, Lynn Schultz, drove him to and from the Primate Lab.  A day earlier Armstrong would firebomb the R.O.T.C. offices at the University of Wisconsin. (197001020003)  Karl Armstrong would be captured after participating in the deadly bombing of Sterling Hall at the University of Wisconsin on August 24, 1970. (197008240001)","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Tom Bates, ""Rads: The 1970 Bombing of the Army Math Research Center at the University of Wisconsin and Its Aftermath,"" HarperCollinsPublishing, 1992.","David Newman, Sandra Sutherland, and Jon Stewart, ""The Madison Bomb Story: The Death the FBI Saw, Heard and Won't Talk About,"" Mother Jones, February-March, 1979.","Hewitt Project",0,0,0,0,
